CRN;Course;Session;Title;Instructor;Time/Location;Credits
24549;BIOC 402 034;Full Term;UNDERGRADUATE HONORS RESEARCH;Wolynes, Peter;TBA TBANo Final Exam;5
24550;BIOC 402 035;Full Term;UNDERGRADUATE HONORS RESEARCH;Zhong, Weiwei;TBA TBANo Final Exam;5
24551;BIOC 402 036;Full Term;UNDERGRADUATE HONORS RESEARCH;Saltz, Julia B.;TBA TBANo Final Exam;5
24552;BIOC 402 039;Full Term;UNDERGRADUATE HONORS RESEARCH;Tabor, Jeffrey;TBA TBANo Final Exam;5
24553;BIOC 402 042;Full Term;UNDERGRADUATE HONORS RESEARCH;Kirienko, Natalia V.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
24554;BIOC 402 043;Full Term;UNDERGRADUATE HONORS RESEARCH;Beason-Abmayr, K. Beth;TBA TBANo Final Exam;5
21499;BIOC 412 001;Full Term;UNDERGRADUATE RESEARCH SEMINAR;Nikonowicz, Edward P.Tao, Yizhi J.;3:00PM - 4:00PM F KCK 3081-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;1
24555;BIOC 413 001;2nd Half of Full Term;EXPERIMENTAL MOLECULAR BIO;Beason-Abmayr, K. Beth;1:00PM - 5:00PM MW ABL 1261-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;1
21162;BIOC 415 001;1st Half of Full Term;EXPERIMENTAL PHYSIOLOGY;Caprette, David;1:00PM - 4:50PM MW TBA TBANo Final Exam;1
20656;BIOC 424 001;Full Term;MICROBIOLOGY & BIOTECHNOLOGY;Bennett, George N.;9:25AM - 10:40AM TR GRB W21228-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
25272;BIOC 442 001;Full Term;BEHAVIORAL NEUROSCIENCE;Flynn, Jonathan R.;9:25AM - 10:40AM TR GRB W21128-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
20961;BIOC 443 001;Full Term;DEVELOPMENT;Lwigale, Peter Y.;1:00PM - 2:15PM TR GRB W21127-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
20788;BIOC 447 001;Full Term;BIOLOGY AND MEDICINE;Wagner, Daniel S.Matthews, Kirstin R.;10:50AM - 12:05PM TR GRB W21126-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-Dept Room;3
23499;BIOC 450 001;Full Term;VIRUSES & INFECTIOUS DISEASES;Tao, Yizhi J.;4:00PM - 5:15PM TR KCK 10727-APR-2018 2:00PM - 5:00PM F TBA TBAScheduled Final Exam-OTR Room;3
20421;BIOC 460 001;Full Term;CANCER BIOLOGY;Papadopoulos, Pamela C.;8:00AM - 9:15AM TR BRC 2821-MAY-2018 7:00PM - 10:00PM T TBA TBAScheduled Final Exam-OTR Room;3
20963;BIOC 482 001;Full Term;STRUCTURAL BIOLOGY;Phillips, George N.Nikonowicz, Edward P.;10:00AM - 10:50AM MW KCK 10710:00AM - 10:50AM F KWG 13030-APR-2018 9:00AM - 12:00PM M TBA TBANo Final Exam;3
20727;BIOC 524 001;Full Term;MICROBIOLOGY & BIOTECHNOLOGY;Bennett, George N.;9:25AM - 10:40AM TR GRB W212GR Course-Dept Schedules Exam;3
20409;BIOC 530 001;1st Half of Full Term;LAB MOD NMR SPECTROSCOPY&MOLEC;Nikonowicz, Edward P.;1:00PM - 3:50PM TR TBA TBAGR Course-Dept Schedules Exam;1
20726;BIOC 535 001;2nd Half of Full Term;PRACT X-RAY CRYSTALLOGRAPHY;Phillips, George N.;1:00PM - 3:50PM TR TBA TBAGR Course-Dept Schedules Exam;2
22646;BIOC 536 001;Full Term;CELL & MOL ANIMAL PHYSIOLOGY;Beason-Abmayr, K. BethCaprette, David;9:25AM - 10:40AM TR ABL 126GR Course-Dept Schedules Exam;3
20962;BIOC 544 001;Full Term;DEVELOPMENT;Lwigale, Peter Y.;1:00PM - 2:15PM TR GRB W21127-APR-2018 9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam;3
20789;BIOC 547 001;Full Term;BIOLOGY AND MEDICINE;Wagner, Daniel S.Matthews, Kirstin R.;10:50AM - 12:05PM TR GRB W21126-APR-2018 9:00AM - 12:00PM R TBA TBAGR Course-Dept Schedules Exam;3
23500;BIOC 550 001;Full Term;VIRUSES & INFECTIOUS DISEASES;Tao, Yizhi J.;4:00PM - 5:15PM TR KCK 107GR Course-Dept Schedules Exam;3
20964;BIOC 552 001;Full Term;STRUCTURAL BIOLOGY;Phillips, George N.Nikonowicz, Edward P.;10:00AM - 10:50AM MW KCK 10710:00AM - 10:50AM F KWG 130GR Course-Dept Schedules Exam;3
20422;BIOC 560 001;Full Term;CANCER BIOLOGY;Papadopoulos, Pamela C.;8:00AM - 9:15AM TR BRC 2821-MAY-2018 7:00PM - 10:00PM T TBA TBAGR Course-Dept Schedules Exam;3
20410;BIOC 582 001;Full Term;GRAD SEM/BIOCHEM & CELL BIOL;Braam, JanetCates, Mary S.;2:00PM - 3:15PM M KCK 102GR Course-Dept Schedules Exam;1
20834;BIOC 588 001;Full Term;CELLULAR INTERACTIONS;Bartel, BonnieGustin, MichaelWagner, Daniel S.Lwigale, Peter Y.Carson, Daniel D.Warmflash, AryehKirienko, Natalia V.;1:30PM - 3:30PM WF GRB W100DGR Course-Dept Schedules Exam;4
20965;BIOC 590 001;Full Term;SPEC TOPCS BIOCHEM&CELL BIO;Silberg, Jonathan J.;TBA TBAGR Course-Dept Schedules Exam;1
20650;BIOC 592 001;Full Term;TOPICS QUANT BIO & BIOMED INFO;Kavraki, Lydia E.;4:00PM - 4:50PM F BRC 280GR Course-Dept Schedules Exam;1
20423;BIOC 593 001;Full Term;TOPICS IN PLANT BIOLOGY;Braam, JanetBartel, Bonnie;12:00PM - 12:50PM W GRB W100DGR Course-Dept Schedules Exam;1
20412;BIOC 599 001;Full Term;GRADUATE TEACHING IN BIOCHEM;Braam, JanetPurugganan, Mary;TBA TBAGR Course-Dept Schedules Exam;1
21436;BIOC 611 002;Full Term;RESEARCH SEMINAR;Warmflash, Aryeh;TBA TBAGR Course-Dept Schedules Exam;1
21135;BIOC 611 003;Full Term;RESEARCH SEMINAR;Bartel, Bonnie;10:00AM - 10:50AM F GRB W100DGR Course-Dept Schedules Exam;1
21136;BIOC 611 004;Full Term;RESEARCH SEMINAR;Beckingham, Kathleen M.;TBA TBAGR Course-Dept Schedules Exam;1
21137;BIOC 611 005;Full Term;RESEARCH SEMINAR;Bennett, George N.;TBA TBAGR Course-Dept Schedules Exam;1
21138;BIOC 611 006;Full Term;RESEARCH SEMINAR;Bennett, Matthew;3:30PM - 5:00PM M KCK 102GR Course-Dept Schedules Exam;1
21139;BIOC 611 007;Full Term;RESEARCH SEMINAR;Braam, Janet;TBA TBAGR Course-Dept Schedules Exam;1
21140;BIOC 611 008;Full Term;RESEARCH SEMINAR;Carson, Daniel D.;TBA TBAGR Course-Dept Schedules Exam;1
24556;BIOC 611 010;Full Term;RESEARCH SEMINAR;Papadopoulos, Pamela C.;TBA TBAGR Course-Dept Schedules Exam;1
21141;BIOC 611 011;Full Term;RESEARCH SEMINAR;Farach-Carson, Mary C.;TBA TBAGR Course-Dept Schedules Exam;1
21142;BIOC 611 012;Full Term;RESEARCH SEMINAR;Gustin, Michael;TBA TBAGR Course-Dept Schedules Exam;1
24557;BIOC 611 014;Full Term;RESEARCH SEMINAR;Chappell, James E.;TBA TBAGR Course-Dept Schedules Exam;1
24558;BIOC 611 015;Full Term;RESEARCH SEMINAR;Levine, Herbert;TBA TBAGR Course-Dept Schedules Exam;1
21143;BIOC 611 016;Full Term;RESEARCH SEMINAR;Lwigale, Peter Y.;TBA TBAGR Course-Dept Schedules Exam;1
21156;BIOC 611 017;Full Term;RESEARCH SEMINAR;Matsuda, Seiichi P.;TBA TBAGR Course-Dept Schedules Exam;1
21144;BIOC 611 018;Full Term;RESEARCH SEMINAR;Matthews, Kathleen S.;TBA TBAGR Course-Dept Schedules Exam;1
21145;BIOC 611 019;Full Term;RESEARCH SEMINAR;McNew, James A.;TBA TBAGR Course-Dept Schedules Exam;1
21146;BIOC 611 021;Full Term;RESEARCH SEMINAR;Nikonowicz, Edward P.;TBA TBAGR Course-Dept Schedules Exam;1
21148;BIOC 611 025;Full Term;RESEARCH SEMINAR;Phillips, George N.;TBA TBAGR Course-Dept Schedules Exam;1
21539;BIOC 611 026;Full Term;RESEARCH SEMINAR;Segatori, Laura;TBA TBAGR Course-Dept Schedules Exam;1
21149;BIOC 611 027;Full Term;RESEARCH SEMINAR;Shamoo, Yousif;TBA TBAGR Course-Dept Schedules Exam;1
